"id","name","product_line","model","created_at"
"17928","GGP_BQP_ECCW_Q323","Zowie","EC2-CW","2023-08-01 07:16:57"
"17929","ESD_BQP_XL-K_Q323","Zowie","XL2566K","2023-08-01 08:56:05"
"17930","ESD_BQP_XL-K_Q323","Zowie","XL2566K","2023-08-01 09:06:42"
"17931","ESD_BQP_XL-K_Q323","Zowie","XL2566K","2023-08-01 09:10:35"
"17932","ESD_BQP_XL-K_Q323","Zowie","XL2566K","2023-08-01 09:13:11"
"17933","ESD_BQP_XL-K_Q323","Zowie","XL2566K","2023-08-01 09:20:02"
"17934","LCD_BQP_MOBIUZ_Q323","LCD Monitor","EX3210U","2023-08-01 09:22:46"
"17935","ESD_BQP_XL-K_Q323","Zowie","XL2566K","2023-08-01 14:21:10"
"17937","LCD_BQA_Vertical Monitor_2023 2H","LCD Monitor","SW272U","2023-08-01 16:37:55"
"17938","LCD_BQP_GW_Q323","LCD Monitor","GW2790QT","2023-08-01 16:50:46"
"17940","LCD_BQP_AQCOLOR_Q323","LCD Monitor","SW272U","2023-08-01 16:58:53"
"17941","PRJ_BQP_Home Cinema PRJ_Q323","Projector","W4000i","2023-08-01 17:02:49"
"17942","PRJ_BQE_Home Entertainment","Projector","TK860i","2023-08-01 21:10:34"
"17943","WTG_ScreenBar_BQA_Professional_2023 Q3","Lighting","ScreenBar Halo","2023-08-02 11:33:05"
"17944","LCD_BQA_Vertical Monitor_2023 2H","LCD Monitor","SW272U","2023-08-02 11:34:26"
"17945","WTG_ScreenBar_BQA_Professional_2023 Q3","Lighting","ScreenBar Halo","2023-08-02 11:35:08"
"17946","LCD_BQP_AQCOLOR_Q323","LCD Monitor","SW272U","2023-08-02 11:49:03"
"17947","PRJ_BQA_Portable_2023 2H","Projector","GP100A","2023-08-04 15:29:41"
"17948","PRJ_BQA_Portable_2023 2H","Projector","GP100A","2023-08-04 15:30:28"
"17949","LCD_BQuk_Vertical Monitor_2023 2H","LCD Monitor","SW272U","2023-08-04 16:58:12"
